Worst Case Timing
,2,,,,,,,,,3,,,,,,,,,4,,,,,,,,,5,,,,,,,,
,2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10
dsc_serial_mul,497,612,683,796,884,984,1075,1178,1282,583,733,884,1035,1178,1334,1488,1642,1796,683,884,1075,1282,1488,1694,1899,2080,2284,784,1035,1282,1540,1796,2029,2284,2538,2793
es_naive_mul,499,617,683,796,884,984,1075,1178,1282,583,733,884,1035,1178,1334,1488,1642,1796,683,884,1075,1282,1488,1694,1899,2080,2284,784,1035,1282,1540,1796,2029,2284,2538,2793
es_ordered_bs_mul,548,660,692,850,899,1066,1075,1178,1282,644,773,884,1035,1178,1334,1488,1642,1796,811,888,1075,1282,1488,1694,1899,2080,2284,930,1086,1282,1540,1796,2029,2284,2538,2793
es_ordered_cas_mul,488,613,683,796,884,984,1075,1178,1282,583,733,884,1035,1178,1334,1488,1642,1796,683,884,1075,1282,1488,1694,1899,2080,2284,784,1035,1282,1540,1796,2029,2284,2538,2793
ms_serial_by2_mul,847,1137,1360,1554,1796,1938,2135,2287,2445,1159,1526,1833,2126,2442,2653,2926,3172,3418,1485,1936,2334,2694,3099,3391,3744,3906,3792,1889,2477,2876,3338,3804,3957,3947,3966,4130
ms_es_naive_by2_mul,854,1156,1366,1566,1807,1954,2152,2287,2453,1151,1546,1835,2108,2430,2652,2927,3181,3420,1450,1906,2292,2640,3045,3353,3717,3867,3798,1893,2442,2877,3353,3801,3937,3972,4059,3982
ms_es_ordered_cas_by2_mul,848,1142,1356,1566,1789,1916,2140,2296,2457,1154,1530,1831,2117,2404,2623,2924,3188,3423,1451,1897,2288,2653,3028,3330,3700,3876,3791,1879,2430,2867,3344,3790,3943,3959,4024,3982
ms_es_ordered_bs_by2_mul,861,1214,1412,1609,1909,1956,2181,2319,2586,1256,1625,1919,2246,2450,2844,3091,3280,3557,1634,2066,2478,2928,3230,3616,3899,4083,3977,2183,2637,3253,3698,4193,4146,4162,4276,4407
ms_serial_by4_mul,970,1406,1641,1861,2051,2341,2559,2605,2754,1123,1478,1754,2125,2358,2600,3043,3180,3453,1430,1910,2282,2700,3004,3366,3847,3776,3840,1885,2432,2870,3336,3738,3923,3990,3975,4120
ms_es_naive_by4_mul,979,1406,1641,1859,2051,2341,2560,2605,2759,1438,2052,2383,2729,2926,3275,3634,3737,3873,1880,2667,3059,3448,3785,4028,4036,4372,4105,2414,3242,3684,4156,4407,4531,4481,4376,4448
ms_es_ordered_cas_by4_mul,567,1409,1640,1857,2055,2348,2560,2604,2753,729,2051,2379,2710,2942,3241,3623,3749,3859,892,2666,3057,3444,3759,4136,4035,4366,4056,1135,3234,3695,4158,4391,4478,4382,4458,4485
ms_es_ordered_bs_by4_mul,1029,1315,1586,1797,2054,2198,2457,2597,2854,1502,1965,2313,2635,2898,3124,3461,3738,4042,1994,2624,2996,3468,3870,4142,4180,4339,4348,2573,3330,3780,4380,4535,4515,4674,4853,4894
